datasets,Accuracy,Specificity,Recall/Sensitivity,Precision,F1_Score,AUC_ROC
ER,"[97.38709677419355, 96.41935483870968, 96.90322580645162, 96.74193548387096, 97.0, 96.0, 97.03225806451613, 96.93548387096774, 97.09677419354838, 96.96774193548387]","[97.63333333333334, 96.7, 97.16666666666667, 97.2, 97.26666666666667, 96.23333333333333, 97.26666666666667, 97.39999999999999, 97.33333333333334, 97.16666666666667]","[90.0, 88.0, 89.0, 83.0, 89.0, 89.0, 90.0, 83.0, 90.0, 91.0]","[55.90062111801242, 47.05882352941176, 51.14942528735632, 49.700598802395206, 52.046783625730995, 44.05940594059406, 52.32558139534884, 51.5527950310559, 52.94117647058824, 51.70454545454546]","[68.96551724137932, 61.32404181184668, 64.96350364963503, 62.172284644194754, 65.68265682656826, 58.94039735099338, 66.1764705882353, 63.601532567049816, 66.66666666666667, 65.94202898550725]","[98.29133333333333, 98.15333333333332, 98.50999999999999, 96.59633333333333, 98.38866666666667, 97.516, 98.04, 97.204, 97.88466666666666, 98.31633333333333]"
WS,"[96.29032258064515, 97.12903225806451, 96.67741935483872, 96.96774193548387, 97.03225806451613, 97.25806451612902, 97.06451612903226, 96.58064516129032, 96.64516129032258, 96.87096774193549]","[96.6, 97.39999999999999, 97.03333333333333, 97.33333333333334, 97.23333333333333, 97.56666666666666, 97.36666666666667, 96.89999999999999, 96.93333333333334, 97.1]","[87.0, 89.0, 86.0, 86.0, 91.0, 88.0, 88.0, 87.0, 88.0, 90.0]","[46.03174603174603, 53.293413173652695, 49.142857142857146, 51.80722891566265, 52.29885057471264, 54.6583850931677, 52.69461077844312, 48.333333333333336, 48.888888888888886, 50.847457627118644]","[60.2076124567474, 66.66666666666666, 62.54545454545454, 64.66165413533834, 66.42335766423358, 67.43295019157088, 65.91760299625469, 62.142857142857146, 62.857142857142854, 64.98194945848375]","[97.16783333333332, 97.17683333333333, 94.92683333333332, 95.98150000000001, 96.66916666666667, 96.55650000000001, 96.63616666666667, 96.9105, 95.39783333333334, 96.57066666666665]"
BA,"[96.7741935483871, 96.93548387096774, 97.06451612903226, 96.74193548387096, 96.7741935483871, 97.06451612903226, 96.29032258064515, 96.90322580645162, 96.87096774193549, 96.48387096774194]","[97.13333333333334, 97.23333333333333, 97.26666666666667, 97.13333333333334, 96.93333333333334, 97.36666666666667, 96.56666666666666, 97.23333333333333, 97.16666666666667, 96.86666666666667]","[86.0, 88.0, 91.0, 85.0, 92.0, 88.0, 88.0, 87.0, 88.0, 85.0]","[50.0, 51.461988304093566, 52.601156069364166, 49.707602339181285, 50.0, 52.69461077844312, 46.07329842931937, 51.17647058823529, 50.86705202312138, 47.486033519553075]","[63.235294117647065, 64.94464944649447, 66.66666666666667, 62.73062730627306, 64.7887323943662, 65.91760299625469, 60.481099656357394, 64.44444444444444, 64.46886446886447, 60.93189964157706]","[96.81283333333333, 97.077, 97.27483333333333, 95.05266666666667, 98.56083333333333, 96.13133333333333, 97.42483333333332, 96.04083333333332, 96.22266666666667, 95.83083333333335]"
