randseed,measure,bottom_depth,top_depth,xvalue,yvalue,nodes2,edges2,nodes3,edges3,act_nodes_2,act_edges2,act_nodes_3,act_edges3,connectivity_conv2,connectivity_conv3,pruning_accuracy,baseline_acc,pruning_sensitivity,baseline_sensitivity,pruning_specificity,baseline_specificity,pruning_flops,baseline_flops,pruning_parameters,baseline_parameters,%edges,%flops,%parameters
3,EBC,1,1,50.0,0,16,32,29,37,16.0,32.0,32.0,64.0,True,True,0.9667741935483871,0.9629,0.82,0.87,0.9716666666666667,0.966,1829527712.0,2000141792.0,3878430,4219836.0,57.8125,91.46990074991643,91.90949600884963
3,EBC,2,1,25.0,0,16,32,32,49,16.0,32.0,32.0,64.0,True,True,0.9635483870967742,0.9629,0.86,0.87,0.967,0.966,2000141792.0,2000141792.0,4219836,4219836.0,76.5625,100.0,100.0
3,EBC,3,1,12.5,0,16,32,32,56,16.0,32.0,32.0,64.0,True,True,0.9725806451612903,0.9629,0.92,0.87,0.9743333333333334,0.966,2000141792.0,2000141792.0,4219836,4219836.0,87.5,100.0,100.0
3,EBC,4,1,18.75,0,16,32,32,52,16.0,32.0,32.0,64.0,True,True,0.9661290322580646,0.9629,0.89,0.87,0.9686666666666667,0.966,2000141792.0,2000141792.0,4219836,4219836.0,81.25,100.0,100.0
3,EBC,5,1,21.875,0,16,32,32,51,16.0,32.0,32.0,64.0,True,True,0.9635483870967742,0.9629,0.86,0.87,0.967,0.966,2000141792.0,2000141792.0,4219836,4219836.0,79.6875,100.0,100.0
