randseed,measure,bottom_depth,top_depth,xvalue,yvalue,nodes2,edges2,nodes3,edges3,act_nodes_2,act_edges2,act_nodes_3,act_edges3,connectivity_conv2,connectivity_conv3,pruning_accuracy,baseline_acc,pruning_sensitivity,baseline_sensitivity,pruning_specificity,baseline_specificity,pruning_flops,baseline_flops,pruning_parameters,baseline_parameters,%edges,%flops,%parameters
3,ORC,1,1,50.0,0,16,32,30,39,16.0,32.0,32.0,64.0,True,True,0.9648387096774194,0.9629,0.88,0.87,0.9676666666666667,0.966,1759202912.0,2000141792.0,3571032,4219836.0,60.9375,87.95391001959526,84.62490011460162
3,ORC,2,1,75.0,0,16,32,22,20,16.0,32.0,32.0,64.0,True,False,0.9719354838709677,0.9629,0.82,0.87,0.977,0.966,1348750688.0,2000141792.0,2808036,4219836.0,31.25,67.43275368749457,66.54372350015498
3,ORC,3,1,62.5,0,16,32,27,30,16.0,32.0,32.0,64.0,True,True,0.9693548387096774,0.9629,0.88,0.87,0.9723333333333334,0.966,1607668256.0,2000141792.0,3292806,4219836.0,46.875,80.37771434156404,78.03161070714596
3,ORC,4,1,68.75,0,16,32,26,25,16.0,32.0,32.0,64.0,True,False,0.9664516129032258,0.9629,0.92,0.87,0.968,0.966,1544437088.0,2000141792.0,3157944,4219836.0,39.0625,77.21638006751873,74.83570451553094
3,ORC,5,1,71.875,0,16,32,24,23,16.0,32.0,32.0,64.0,True,False,0.9706451612903226,0.9629,0.85,0.87,0.9746666666666667,0.966,1456133600.0,2000141792.0,3014580,4219836.0,35.9375,72.80151866353283,71.43832129969032
